date,venue_name,race_no,start_time,closed_at,url,players,class_category,grade
20250608,伊東温泉,1R,08:30,08:25,https://keirin.netkeiba.com/race/entry/?race_id=202506083701,1秋葉大輔 2植木和広 3佐々木祐太 4佐々木健司 5川田忍 6小宮剛 7馬場和広,Ａ級 予選,FII
20250608,伊東温泉,2R,08:50,08:45,https://keirin.netkeiba.com/race/entry/?race_id=202506083702,1加藤寛治 2須永勝太 3小坂丈 4薮謙治 5宇賀神浩幸 6千澤大輔 7犬塚貴之,Ａ級 予選,FII
20250608,伊東温泉,3R,09:11,09:06,https://keirin.netkeiba.com/race/entry/?race_id=202506083703,1田頭寛之 2菅谷隆司 3竹内一暢 4枠元一葵 5有賀高士 6佐野恭太 7渡辺航平,Ａ級 予選,FII
20250608,伊東温泉,4R,09:32,09:27,https://keirin.netkeiba.com/race/entry/?race_id=202506083704,1日当泰之 2勝俣亮 3奥出良 4舛井幹雄 5堀政美 6鶴岡與之 7中川貴史,Ａ級 予選,FII
20250608,伊東温泉,5R,09:53,09:48,https://keirin.netkeiba.com/race/entry/?race_id=202506083705,1齋藤友幸 2富安保充 3武田靖夫 4関根健太郎 5村瀬大和 6齋藤昌弘 7松崎貴久,Ａ級 予選,FII
20250608,伊東温泉,6R,10:14,10:09,https://keirin.netkeiba.com/race/entry/?race_id=202506083706,1川木敬大 2田中勝仁 3小島雅章 4大西健士 5内山慧大 6緒方剛 7徳丸泰教,Ａ級 予選,FII
20250608,伊東温泉,7R,10:35,10:30,https://keirin.netkeiba.com/race/entry/?race_id=202506083707,1金澤竜二 2出澤拓也 3藤原誠 4坂本将太郎 5菱田浩二 6岡本英之 7宇佐見優介,Ａ級 初日特別選抜,FII
20250608,大垣,1R,10:45,10:40,https://keirin.netkeiba.com/race/entry/?race_id=202506084401,1増田利明 2竹内真一 3鮫島康治 4坂本毅 5戸田康平 6高木隆弘 7山出裕幸,Ａ級 一般,FI
20250608,大垣,2R,11:14,11:09,https://keirin.netkeiba.com/race/entry/?race_id=202506084402,1山田祐太 2奥出健士郎 3木村浩宣 4山田武 5光畑政志 6大竹哲也 7四宮哲郎,Ａ級 一般,FI
20250608,大垣,3R,11:43,11:38,https://keirin.netkeiba.com/race/entry/?race_id=202506084403,1三谷政史 2永井哉多 3阿部弘 4井上剛 5田口勇介 6本村隆文 7佐山俊樹,Ａ級 特選,FI
20250608,大垣,4R,12:12,12:07,https://keirin.netkeiba.com/race/entry/?race_id=202506084404,1矢部駿人 2伊原弘幸 3荒川達郎 4石坂永伍 5深瀬泰我 6北川紋部 7紫原政文,Ａ級 特選,FI
20250608,大垣,5R,12:41,12:36,https://keirin.netkeiba.com/race/entry/?race_id=202506084405,1伊藤奎 2堀僚介 3古屋琢晶 4高橋広大 5伊藤世哉 6金成和幸,Ｓ級 一般,FI
20250608,大垣,6R,13:10,13:05,https://keirin.netkeiba.com/race/entry/?race_id=202506084406,1末廣快理 2山本健也 3三浦貴大 4佐々木省司 5中山拓人 6伊藤正樹,Ｓ級 一般,FI
20250608,大垣,7R,13:39,13:34,https://keirin.netkeiba.com/race/entry/?race_id=202506084407,1児玉慎一郎 2吉田健市 3鷲田佳史 4佐川翔吾 5西田大志 6矢島一弥 7重倉高史,Ｓ級 一般,FI
20250608,大垣,8R,14:08,14:03,https://keirin.netkeiba.com/race/entry/?race_id=202506084408,1長田龍拳 2伊代野貴照 3西村光太 4田尾駿介 5松田治之 6小堺浩二 7黒瀬浩太郎,Ｓ級 特選,FI
20250608,大垣,9R,14:37,14:32,https://keirin.netkeiba.com/race/entry/?race_id=202506084409,1不破将登 2佐々木龍 3志村龍己 4渡邉雅也 5照井拓成 6徳田匠 7西田雅志,Ｓ級 特選,FI
20250608,大垣,10R,15:06,15:01,https://keirin.netkeiba.com/race/entry/?race_id=202506084410,1山内卓也 2久米良 3佐藤幸治 4山口富生 5渡邉一成 6外田心斗 7山口貴嗣,Ｓ級 特選,FI
20250608,大垣,11R,15:38,15:33,https://keirin.netkeiba.com/race/entry/?race_id=202506084411,1堀川敬太郎 2常次勇人 3三木健正 4石川航大 5高木竜司 6西村豊 7岡部芳幸,Ａ級 決勝,FI
20250608,大垣,12R,16:10,16:05,https://keirin.netkeiba.com/race/entry/?race_id=202506084412,1志田龍星 2北津留翼 3宿口陽一 4松岡貴久 5佐々木雄一 6大川龍二 7山田久徳,Ｓ級 決勝,FI
20250608,別府,1R,15:25,15:20,https://keirin.netkeiba.com/race/entry/?race_id=202506088601,1岡光良 2畝木努 3中村一将 4連佛康浩 5今井聡 6藤原浩 7溝口葵 8伊豆田浩人 9房州輝也,Ｓ級 一般,GIII
20250608,別府,2R,15:51,15:46,https://keirin.netkeiba.com/race/entry/?race_id=202506088602,1佐藤愼太郎 2名川豊 3山本奨 4仲野結音 5吉本哲郎 6安部達也 7今藤康裕 8佐藤朋也 9中川聖大,Ｓ級 一般,GIII
20250608,別府,3R,16:17,16:12,https://keirin.netkeiba.com/race/entry/?race_id=202506088603,1濱田浩司 2佐藤壮 3小林潤二 4村上直久 5青柳靖起 6石丸寛之 7矢野昌彦 8内田英介 9室井健一,Ｓ級 選抜,GIII
20250608,別府,4R,16:43,16:38,https://keirin.netkeiba.com/race/entry/?race_id=202506088604,1長松空吾 2掛水泰範 3池野健太 4前反祐一郎 5大野悟郎 6磯川勝裕 7今村麟太郎 8山田雄大 9松岡健介,Ｓ級 選抜,GIII
20250608,別府,5R,17:10,17:05,https://keirin.netkeiba.com/race/entry/?race_id=202506088605,1新田康仁 2北村信明 3古賀勝大 4和泉尚吾 5治田知也 6小菅誠 7今野大輔 8今岡徹二 9吉田敏洋,Ｓ級 選抜,GIII
20250608,別府,6R,17:37,17:32,https://keirin.netkeiba.com/race/entry/?race_id=202506088606,1櫻井正孝 2市橋司優人 3鷲田幸司 4津村洸次郎 5福島武士 6真崎新太郎 7林慶次郎 8坂本周輝 9橋本優己,Ｓ級 特選,GIII
